date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
03:44:24	83/83	---MCZ	200	added ('OK')	text/html	date:Sat,%2031%20Jan%202026%2022:14:25%20GMT	https://user.xxyz.be/	C:/Users/dilha/OneDrive/Desktop/xxyz/user.xxyz.be/index.html	(from )
03:44:24	44709/44709	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%22697a3b31-e3b8%22	https://user.xxyz.be/robots.txt		(from )
03:44:24	9421/9421	---MCZ	200	added ('OK')	text/html	date:Sat,%2031%20Jan%202026%2022:14:25%20GMT	https://user.xxyz.be/login.php	C:/Users/dilha/OneDrive/Desktop/xxyz/user.xxyz.be/login.html	(from https://user.xxyz.be/)
03:44:25	231118/231118	---MCZ	200	added ('OK')	text/css	etag:W/%2268998649-386ce%22	https://user.xxyz.be/assets/css/app.min.css	C:/Users/dilha/OneDrive/Desktop/xxyz/user.xxyz.be/assets/css/app.min.css	(from https://user.xxyz.be/login.php)
03:44:25	6473/6473	---MCZ	200	added ('OK')	text/css	etag:W/%2269451b81-1949%22	https://user.xxyz.be/assets/css/style.css	C:/Users/dilha/OneDrive/Desktop/xxyz/user.xxyz.be/assets/css/style.css	(from https://user.xxyz.be/login.php)
03:44:26	159068/159068	---MCZ	200	added ('OK')	text/css	etag:W/%2268998649-26d5c%22	https://user.xxyz.be/assets/css/components.css	C:/Users/dilha/OneDrive/Desktop/xxyz/user.xxyz.be/assets/css/components.css	(from https://user.xxyz.be/login.php)
03:44:26	102025/102025	---M-Z	200	added ('OK')	text/css	etag:%226421d693-547f%22	https://cdnjs.cloudflare.com/ajax/libs/font-awesome/6.4.0/css/all.min.css	C:/Users/dilha/OneDrive/Desktop/xxyz/cdnjs.cloudflare.com/ajax/libs/font-awesome/6.4.0/css/all.min.css	(from https://user.xxyz.be/login.php)
03:44:26	71750/71750	---M-Z	200	added ('OK')	text/css	etag:%225f5628a2-11846%22	https://cdnjs.cloudflare.com/ajax/libs/animate.css/4.1.1/animate.min.css	C:/Users/dilha/OneDrive/Desktop/xxyz/cdnjs.cloudflare.com/ajax/libs/animate.css/4.1.1/animate.min.css	(from https://user.xxyz.be/login.php)
03:44:27	9893/9893	---MCZ	200	added ('OK')	text/html	date:Sat,%2031%20Jan%202026%2022:14:28%20GMT	https://user.xxyz.be/signup.php	C:/Users/dilha/OneDrive/Desktop/xxyz/user.xxyz.be/signup.html	(from https://user.xxyz.be/login.php)
03:44:27	89501/89501	---M-Z	200	added ('OK')	application/javascript	etag:W/%2228feccc0-15d9d%22	https://code.jquery.com/jquery-3.6.0.min.js	C:/Users/dilha/OneDrive/Desktop/xxyz/code.jquery.com/jquery-3.6.0.min.js	(from https://user.xxyz.be/login.php)
03:44:28	83/83	---MCZ	200	added ('OK')	text/html	date:Sat,%2031%20Jan%202026%2022:14:29%20GMT	https://user.xxyz.be/index.php	C:/Users/dilha/OneDrive/Desktop/xxyz/user.xxyz.be/index-2.html	(from https://user.xxyz.be/login.php)
03:44:29	315/315	---M--	200	added ('OK')	text/html	etag:%2268998649-13b%22	https://user.xxyz.be/assets/fonts/fonts/webfonts/fa-brands-400.html	C:/Users/dilha/OneDrive/Desktop/xxyz/user.xxyz.be/assets/fonts/fonts/webfonts/fa-brands-400.html	(from https://user.xxyz.be/assets/css/app.min.css)
03:44:31	129916/129916	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%2268998649-1fb7c%22	https://user.xxyz.be/assets/fonts/webfonts/fa-brands-400d41d.eot?	C:/Users/dilha/OneDrive/Desktop/xxyz/user.xxyz.be/assets/fonts/webfonts/fa-brands-400d41dd41d.eot	(from https://user.xxyz.be/assets/css/app.min.css)
03:44:31	74776/74776	---M--	200	added ('OK')	font/woff2	etag:%2268998649-12418%22	https://user.xxyz.be/assets/fonts/webfonts/fa-brands-400.woff2	C:/Users/dilha/OneDrive/Desktop/xxyz/user.xxyz.be/assets/fonts/webfonts/fa-brands-400.woff2	(from https://user.xxyz.be/assets/css/app.min.css)
03:44:34	87688/87688	---M--	200	added ('OK')	font/woff	etag:%2268998649-15688%22	https://user.xxyz.be/assets/fonts/webfonts/fa-brands-400.woff	C:/Users/dilha/OneDrive/Desktop/xxyz/user.xxyz.be/assets/fonts/webfonts/fa-brands-400.woff	(from https://user.xxyz.be/assets/css/app.min.css)
03:44:35	129612/129612	---M--	200	added ('OK')	application/octet-stream	etag:%2268998649-1fa4c%22	https://user.xxyz.be/assets/fonts/webfonts/fa-brands-400.ttf	C:/Users/dilha/OneDrive/Desktop/xxyz/user.xxyz.be/assets/fonts/webfonts/fa-brands-400.ttf	(from https://user.xxyz.be/assets/css/app.min.css)
03:44:35	34388/34388	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%2268998649-8654%22	https://user.xxyz.be/assets/fonts/webfonts/fa-regular-400.eot	C:/Users/dilha/OneDrive/Desktop/xxyz/user.xxyz.be/assets/fonts/webfonts/fa-regular-400.eot	(from https://user.xxyz.be/assets/css/app.min.css)
03:44:36	34388/34388	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%2268998649-8654%22	https://user.xxyz.be/assets/fonts/webfonts/fa-regular-400d41d.eot?	C:/Users/dilha/OneDrive/Desktop/xxyz/user.xxyz.be/assets/fonts/webfonts/fa-regular-400d41dd41d.eot	(from https://user.xxyz.be/assets/css/app.min.css)
03:44:36	694583/694583	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2268998649-a9937%22	https://user.xxyz.be/assets/fonts/webfonts/fa-brands-400.svg	C:/Users/dilha/OneDrive/Desktop/xxyz/user.xxyz.be/assets/fonts/webfonts/fa-brands-400.svg	(from https://user.xxyz.be/assets/css/app.min.css)
03:44:36	13560/13560	---M--	200	added ('OK')	font/woff2	etag:%2268998649-34f8%22	https://user.xxyz.be/assets/fonts/webfonts/fa-regular-400.woff2	C:/Users/dilha/OneDrive/Desktop/xxyz/user.xxyz.be/assets/fonts/webfonts/fa-regular-400.woff2	(from https://user.xxyz.be/assets/css/app.min.css)
03:44:37	16804/16804	---M--	200	added ('OK')	font/woff	etag:%2268998649-41a4%22	https://user.xxyz.be/assets/fonts/webfonts/fa-regular-400.woff	C:/Users/dilha/OneDrive/Desktop/xxyz/user.xxyz.be/assets/fonts/webfonts/fa-regular-400.woff	(from https://user.xxyz.be/assets/css/app.min.css)
03:44:38	34092/34092	---M--	200	added ('OK')	application/octet-stream	etag:%2268998649-852c%22	https://user.xxyz.be/assets/fonts/webfonts/fa-regular-400.ttf	C:/Users/dilha/OneDrive/Desktop/xxyz/user.xxyz.be/assets/fonts/webfonts/fa-regular-400.ttf	(from https://user.xxyz.be/assets/css/app.min.css)
03:44:39	144451/144451	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2268998649-23443%22	https://user.xxyz.be/assets/fonts/webfonts/fa-regular-400.svg	C:/Users/dilha/OneDrive/Desktop/xxyz/user.xxyz.be/assets/fonts/webfonts/fa-regular-400.svg	(from https://user.xxyz.be/assets/css/app.min.css)
03:44:41	186728/186728	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%2268998649-2d968%22	https://user.xxyz.be/assets/fonts/webfonts/fa-solid-900d41d.eot?	C:/Users/dilha/OneDrive/Desktop/xxyz/user.xxyz.be/assets/fonts/webfonts/fa-solid-900d41dd41d.eot	(from https://user.xxyz.be/assets/css/app.min.css)
03:44:41	186728/186728	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%2268998649-2d968%22	https://user.xxyz.be/assets/fonts/webfonts/fa-solid-900.eot	C:/Users/dilha/OneDrive/Desktop/xxyz/user.xxyz.be/assets/fonts/webfonts/fa-solid-900.eot	(from https://user.xxyz.be/assets/css/app.min.css)
03:44:41	74276/74276	---M--	200	added ('OK')	font/woff2	etag:%2268998649-12224%22	https://user.xxyz.be/assets/fonts/webfonts/fa-solid-900.woff2	C:/Users/dilha/OneDrive/Desktop/xxyz/user.xxyz.be/assets/fonts/webfonts/fa-solid-900.woff2	(from https://user.xxyz.be/assets/css/app.min.css)
03:44:41	96256/96256	---M--	200	added ('OK')	font/woff	etag:%2268998649-17800%22	https://user.xxyz.be/assets/fonts/webfonts/fa-solid-900.woff	C:/Users/dilha/OneDrive/Desktop/xxyz/user.xxyz.be/assets/fonts/webfonts/fa-solid-900.woff	(from https://user.xxyz.be/assets/css/app.min.css)
03:44:42	315/315	---M--	200	added ('OK')	text/html	etag:%2268998649-13b%22	https://user.xxyz.be/assets/css/MaterialIcons-Regular.html	C:/Users/dilha/OneDrive/Desktop/xxyz/user.xxyz.be/assets/css/MaterialIcons-Regular.html	(from https://user.xxyz.be/assets/css/app.min.css)
03:44:42	186444/186444	---M--	200	added ('OK')	application/octet-stream	etag:%2268998649-2d84c%22	https://user.xxyz.be/assets/fonts/webfonts/fa-solid-900.ttf	C:/Users/dilha/OneDrive/Desktop/xxyz/user.xxyz.be/assets/fonts/webfonts/fa-solid-900.ttf	(from https://user.xxyz.be/assets/css/app.min.css)
03:44:43	816926/816926	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2268998649-c771e%22	https://user.xxyz.be/assets/fonts/webfonts/fa-solid-900.svg	C:/Users/dilha/OneDrive/Desktop/xxyz/user.xxyz.be/assets/fonts/webfonts/fa-solid-900.svg	(from https://user.xxyz.be/assets/css/app.min.css)
03:44:43	44300/44300	---M--	200	added ('OK')	font/woff2	etag:%2268998649-ad0c%22	https://user.xxyz.be/assets/bundles/material-icons/MaterialIcons-Regular.woff2	C:/Users/dilha/OneDrive/Desktop/xxyz/user.xxyz.be/assets/bundles/material-icons/MaterialIcons-Regular.woff2	(from https://user.xxyz.be/assets/css/app.min.css)
03:44:43	57620/57620	---M--	200	added ('OK')	font/woff	etag:%2268998649-e114%22	https://user.xxyz.be/assets/bundles/material-icons/MaterialIcons-Regular.woff	C:/Users/dilha/OneDrive/Desktop/xxyz/user.xxyz.be/assets/bundles/material-icons/MaterialIcons-Regular.woff	(from https://user.xxyz.be/assets/css/app.min.css)
03:44:44	21440/21440	---MCZ	200	added ('OK')	image/png	etag:W/%2268998649-53c0%22	https://user.xxyz.be/assets/img/browsers/chrome.png	C:/Users/dilha/OneDrive/Desktop/xxyz/user.xxyz.be/assets/img/browsers/chrome.png	(from https://user.xxyz.be/assets/css/components.css)
